"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\Mozoh\OneDrive\Documents\self_model_agents\scripts\run_gridworld_experiment.py", "Python", 37, 11, 15, 63
"c:\Users\Mozoh\OneDrive\Documents\self_model_agents\scripts\run_multi_agent_experiment.py", "Python", 0, 0, 1, 1
"c:\Users\Mozoh\OneDrive\Documents\self_model_agents\scripts\visualize_self_model.py", "Python", 0, 0, 1, 1
"Total", "-", 37, 11, 17, 65
